2AGPEAT160	2agpe160|amp|atp|h|hdca|pe160|ppi
GLUTRS	amp|atp|glu_L|glutrna|h|ppi|trnaglu
GLUt2r	glu_L|h
GLXO1	glx|h|h2o|nad|nadh|oxa
GLYBabc	adp|atp|glyb|h|h2o|pi
GLYC3Pabc	adp|atp|glyc3p|h|h2o|pi
GLYCK	3pg|adp|atp|glyc_R
GLYCL	co2|gly|mlthf|nad|nadh|nh4|thf
GLYCTO1	glx|glyclt|h2o2|o2
GLYCTO2	glx|glyclt|q8|q8h2
GLYCTO3	glx|glyclt|mql8|mqn8
GLYCTO4	2dmmq8|2dmmql8|glx|glyclt
GLYCt	glyc
GLYD	glx|gly|h|h2o|nad|nadh|nh4
GLYK	adp|atp|glyc|glyc3p
GLYt2r	gly|h
GMAND	gdpddman|gdpmann|h2o
GMPS2	amp|atp|gln_L|glu_L|gmp|h|h2o|ppi|xmp
GMT1	decd_tb|decdman1p_tb|gdp|gdpmann
GMT2	gdp|gdpmann|h|harab_D|mharab_D
GND	6pgc|co2|nadp|nadph|ru5p_D
GPDDA2	etha|g3pe|glyc3p|h2o
GRTT	frdp|grdp|ipdp|ppi
GSNK	adp|atp|gmp|gsn
GTHOr	gthox|gthrd|h|nadp|nadph
GTHRDt2	gthrd
GTHS	adp|atp|glucys|gly|gthrd|h|pi
GTMLT	ala_L|cgly|gluala|gthrd
GTPCI	ahdt|for|gtp|h|h2o
GTPCII	25dhpp25drapp|for|gtp|h|h2o|ppi
GTPDPK	amp|atp|gdptp|gtp
GTPH1	gmp|gtp|h|h2o|pi
GUACYC	35cgmp|gtp|ppi
GUAD	gua|h|h2o|nh4|xan
GUAPRT	gmp|gua|ppi|prpp
H2Ot	h2o
H2St1	h2s
H2td	h2
HAS	arab_D|decd_tb|decda_tb|harab_D
HCO3E	co2|h|h2o|hco3
HCO3T	hco3|na1
HCYSMT	ahcys|amet|h|hcys_L|met_L
HDCAt2	h|hdca
HEX1	adp|atp|g6p|glc_D
HEXDPS	frdp|hexdp|ipdp|ppi
HISTD	h|h2o|his_L|histd|nad|nadh
HISTP	h|h2o|hisp|histd|pi
HISt2r	h|his_L
HMBS	h2o|hmbil|nh4|ppbng
HMPK1	4ahmmp|4ampm|adp|atp
HMPK2	4ahmmp|4ampm|cdp|ctp
HMPK3	4ahmmp|4ampm|udp|utp
HMPK4	4ahmmp|4ampm|gdp|gtp
HOPNTAL	4h2opntn|acald|pyr
HPDCAt2	h|hpdca
HPPK	6hmhpt|6hmhptpp|amp|atp
HSDx	aspsa|h|hom_L|nad|nadh
HSDy	aspsa|h|hom_L|nadp|nadph
HSERTA	accoa|achms|coa|hom_L
HSK	adp|atp|hom_L|phom
HSST	coa|hom_L|succoa|suchms
HSTPT	akg|glu_L|hisp|imacp
HXPRT	hxan|imp|ppi|prpp
IACGAMS	acgam|h|iacgam|mi1p_D|pi
ICDHy	akg|co2|icit|nadp|nadph
ICHORSi	chor|ichor
ICL	glx|icit|succ
ID3ACALDt	id3acald
IG3PS	aicar|eig3p|gln_L|glu_L|h|prlp
IGAMD	ac|h2o|iacgam|igam
IGPDH	eig3p|h2o|imacp
IGPS	2cpr5p|3ig3p|co2|h|h2o
ILETA	3mop|akg|glu_L|ile_L
ILEt2r	h|ile_L
IMPC	fprica|h2o|imp
IMPD	h|h2o|imp|nad|nadh|xmp
INDPYRD	co2|h|id3acald|indpyr
INSH	h2o|hxan|ins|rib_D
