1.1.1.34-RXN.e	3-HYDROXY-3-METHYL-GLUTARYL-COA|CO-A|MEVALONATE|NADP|NADPH|PROTON
1.1.1.34-RXN.r	3-HYDROXY-3-METHYL-GLUTARYL-COA|CO-A|MEVALONATE|NADP|NADPH|PROTON
1.1.1.34-RXN.x	3-HYDROXY-3-METHYL-GLUTARYL-COA|CO-A|MEVALONATE|NADP|NADPH|PROTON
1.1.1.39-RXN.c	CARBON-DIOXIDE|MAL|NAD|NADH|PYRUVATE
1.1.1.39-RXN.m	CARBON-DIOXIDE|MAL|NAD|NADH|PYRUVATE
1.1.1.43-RXN.c	CPD-2961|CPD-339|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
1.1.1.51-RXN.c	ANDROST4ENE|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON|TESTOSTERONE
1.1.1.52-RXN.c	3-OXO-5-BETA-CHOLANATE|CPD-7235|NAD|NADH|PROTON
1.1.1.53-RXN.c	17-BETA-HYDROXYANDROSTAN-3-ONE|ANDROSTAN-3-ALPHA17-BETA-DIOL|NAD|NADH|PROTON
1.1.1.64-RXN.c	ANDROST4ENE|NADP|NADPH|PROTON|TESTOSTERONE
1.1.1.8-RXN.c	DIHYDROXY-ACETONE-PHOSPHATE|GLYCEROL-3P|NAD|NADH|PROTON
1.1.1.8-RXN.x	DIHYDROXY-ACETONE-PHOSPHATE|GLYCEROL-3P|NAD|NADH|PROTON
1.1.1.83-RXN.c	CARBON-DIOXIDE|CPD-660|NAD|NADH|PYRUVATE
1.1.1.92-RXN.c	CARBON-DIOXIDE|CPD-66|GLYCERATE|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
1.1.1.97-RXN.c	3-OH-BENZALDEHYDE|3-OH-BENZYL-ALCOHOL|NADP|NADPH|PROTON
1.1.1.98-RXN.c	2-OXOSTEARATE|NAD|NADH|PROTON|R-2-HYDROXYSTEARATE
1.1.1.99-RXN.c	2-OXOSTEARATE|NAD|NADH|PROTON|S-2-HYDROXYSTEARATE
1.1.2.5-RXN.c	D-LACTATE|Oxidized-cytochromes-c553|PROTON|PYRUVATE|Reduced-cytochromes-c553
1.1.3.32-RXN.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|S-CHEILANTHIFOLINE|S-STYLOPINE|WATER
1.1.3.34-RXN.c	BERBAMUNINE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|R-N-METHYLCOCLAURINE|S-N-METHYLCOCLAURINE|WATER
1.1.3.35-RXN.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|R-RETICULINE|SALUTARIDINE|WATER
1.1.3.36-RXN.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|S-TETRAHYDROBERBERINE|S-TETRAHYDROCOLUMBAMINE|WATER
1.1.3.37-RXN.c	CPD-1789|CPD-356|HYDROGEN-PEROXIDE|OXYGEN-MOLECULE
1.1.3.38-RXN.c	HYDROGEN-PEROXIDE|OXYGEN-MOLECULE|VANILLIN|VANILLYL-ALCOHOL
1.1.3.39-RXN.c	9-RIBURONOSYLADENINE|ADENOSINE|HYDROGEN-PEROXIDE|OXYGEN-MOLECULE|PROTON|WATER
1.1.3.40-RXN.c	HYDROGEN-PEROXIDE|MANNITOL|OXYGEN-MOLECULE
1.1.3.41-RXN.c	HYDROGEN-PEROXIDE|OXYGEN-MOLECULE|XYLITOL|XYLOSE
1.1.4.1-RXN.c	2-METHYL-3-PHYTYL-14-NAPHTHOQUINONE|23-EPOXY-23-DIHYDRO-2-METHYL-14-NAPHTHOQ|DITHIOTHREITOL|OXIDIZED-DITHIOTHREITOL|WATER
1.1.4.2-RXN.c	23-EPOXY-23-DIHYDRO-2-METHYL-14-NAPHTHOQ|3-HYDROXY-2-METHYL-3-PHYTYL-23-DIHYDRONA|DITHIOTHREITOL|OXIDIZED-DITHIOTHREITOL|WATER
1.1.99.25-RXN.c	DEHYDROQUINATE|QUINATE|Quinones|Reduced-Quinones
1.1.99.25-RXN.e	DEHYDROQUINATE|QUINATE|Quinones|Reduced-Quinones
1.1.99.27-RXN.c	2-DEHYDROPANTOYL-LACTONE|Acceptor|Donor-H2|PANTOYL-LACTONE
1.1.99.28-RXN.c	GLC-D-LACTONE|SORBITOL
1.1.99.28-RXN.p	GLC-D-LACTONE|SORBITOL
1.1.99.30-RXN.c	2-Oxo-carboxylates|2R-hydroxy-carboxylates|Acceptor|Donor-H2
1.10.1.1-RXN.c	--TRANS-ACENAPHTHENE-12-DIOL|ACENAPHTHENEQUINONE|NADP|NADPH|PROTON
1.10.2.1-RXN.c	ASCORBATE|CPD-318|FERRICYTOCHROME-B5|FERROCYTOCHROME-B5
1.10.2.2-RXN.c	Cytochromes-C-Oxidized|Cytochromes-C-Reduced|Ubiquinols|Ubiquinones
1.10.2.2-RXN.e	Cytochromes-C-Oxidized|Cytochromes-C-Reduced|Ubiquinols|Ubiquinones
1.10.2.2-RXN.m	Cytochromes-C-Oxidized|Cytochromes-C-Reduced|Ubiquinols|Ubiquinones
1.10.3.7-RXN.c	CPD-1901|OXYGEN-MOLECULE|SULOCHRIN|WATER
1.10.3.8-RXN.c	CPD-1907|OXYGEN-MOLECULE|SULOCHRIN|WATER
1.10.99.2-RXN.c	CPD-7229|NICOTINAMIDE_RIBOSE|PROTON|Quinones|Reduced-Quinones
1.11.1.12-RXN.c	A-LIPID-HYDROPEROXIDE|GLUTATHIONE|Lipids|OXIDIZED-GLUTATHIONE|PROTON|WATER
1.11.1.15-RXN.c	Alcohols|Alkyl-Hydro-Peroxides|PROT-CYS|Protein-Disulfides|WATER
1.12.1.3-RXN.c	HYDROGEN-MOLECULE|NADP|NADPH|PROTON
1.12.5.1-RXN.c	HYDROGEN-MOLECULE|Menaquinols|Menaquinones
1.13.11.10-RXN.c	CPD-1080|CPD-156|OXYGEN-MOLECULE|PROTON
1.13.11.14-RXN.c	2-3-DIHYDROXYBENZOATE|CPD-247|OXYGEN-MOLECULE|PROTON
1.13.11.15-RXN.c	CPD-782|CPD-783|OXYGEN-MOLECULE|PROTON
1.13.11.16-RXN.c	2-3-DIHYDROXYPHENYL-PROPIONATE|CPD-157|OXYGEN-MOLECULE|PROTON
1.13.11.25-RXN.c	3-HYDROXY-5917-TRIOXO-45910-DISECOA|CPD-13709|OXYGEN-MOLECULE|PROTON
1.13.11.28-RXN.c	2-3-DIHYDROXYBENZOATE|CPD-240|OXYGEN-MOLECULE|PROTON
1.13.11.38-RXN.c	CPD-241|HYDROXYNAPHTHOATE|OXYGEN-MOLECULE|PROTON
1.13.11.41-RXN.c	4-hydroxybenzoate|CPD-242|FORMATE|OXYGEN-MOLECULE|PROTON
1.13.11.45-RXN.c	CPD0-2064|LINOLEIC_ACID|OXYGEN-MOLECULE
1.13.11.46-RXN.c	4-HYDROXYMANDELATE|CARBON-DIOXIDE|OXYGEN-MOLECULE|P-HYDROXY-PHENYLPYRUVATE
1.13.11.47-RXN.c	3-HYDROXY-1H-QUINOLIN-4-ONE|CARBON-MONOXIDE|N-FORMYLANTHRANILATE|OXYGEN-MOLECULE
1.13.11.48-RXN.c	3-HYDROXY-2-METHYL-1H-QUINOLIN-4-ONE|CARBON-MONOXIDE|N-ACETYLANTHRANILATE|OXYGEN-MOLECULE
1.13.11.49-RXN.c	CHLORITE|CL-|OXYGEN-MOLECULE
1.13.11.49-RXN.p	CHLORITE|CL-|OXYGEN-MOLECULE
1.13.11.55-RXN.c	Elemental-Sulfur|HS|OXYGEN-MOLECULE|PROTON|SO3|WATER
1.13.11.6-RXN.c	2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI|3-HYDROXY-ANTHRANILATE|OXYGEN-MOLECULE|PROTON
1.13.11.9-RXN.c	2-5-DIHYDROXYPYRIDINE|CPD-12278|OXYGEN-MOLECULE|PROTON
1.13.12.12-RXN.c	14-APO-BETA-CAROTENAL|8-APO-BETA-CAROTENOL|CPD-10732|OXYGEN-MOLECULE
1.13.12.7-RXN.c	AMP|ATP|CARBON-DIOXIDE|Light|OXIDIZED-PHOTINUS-LUCIFERIN|OXYGEN-MOLECULE|PHOTINUS-LUCIFERIN|PPI|PROTON
1.14.11.1-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|CARNITINE|GAMMA-BUTYROBETAINE|OXYGEN-MOLECULE|SUC
1.14.11.10-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|DEOXYRIBONOLACTONE|DEOXYURIDINE|OXYGEN-MOLECULE|SUC|URACIL
1.14.11.18-RXN.c	2-HYDROXYPHYTANOYL-COA|2-KETOGLUTARATE|CARBON-DIOXIDE|CPD-206|OXYGEN-MOLECULE|SUC
1.14.11.19-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|CPD-590|Dihydroquercetins|OXYGEN-MOLECULE|SUC|WATER
1.14.11.2-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|CPD-6321|OXYGEN-MOLECULE|PROCOLLAGEN-L-PROLINE|SUC
1.14.11.20-RXN.c	17-O-DEACETYLVINDOLINE|2-KETOGLUTARATE|CARBON-DIOXIDE|DEACETOXYVINDOLINE|OXYGEN-MOLECULE|SUC
1.14.11.21-RXN.c	2-KETOGLUTARATE|AMIDINOPROCLAVAMINATE|CARBON-DIOXIDE|DEOXYAMIDINOPROCLAVAMINATE|OXYGEN-MOLECULE|SUC
1.14.11.24-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|CPD-7227|CPD-7231|OXYGEN-MOLECULE|PROTON|SUC
1.14.11.26-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|DEACETOXYCEPHALOSPORIN-C|DEACETYLCEPHALOSPORIN-C|OXYGEN-MOLECULE|SUC
1.14.11.28-RXN.c	2-KETOGLUTARATE|3-HYDROXY-L-PROLINE|CARBON-DIOXIDE|OXYGEN-MOLECULE|PRO|SUC
1.14.11.3-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|DEOXYURIDINE|OXYGEN-MOLECULE|SUC|URIDINE
1.14.11.9-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|Dihydroflavonols|FLAVANONES|OXYGEN-MOLECULE|SUC
1.14.12.1-RXN.c	AMMONIUM|ANTHRANILATE|CARBON-DIOXIDE|CATECHOL|NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|PROTON
1.14.12.15-RXN.c	CPD-1943|NAD|NADH|OXYGEN-MOLECULE|PROTON|TEREPHTHALATE
1.14.12.16-RXN.c	256-TRIHYDROXY-56-DIHYDROQUINOLINE|NAD|NADH|OXYGEN-MOLECULE|PROTON|QUINOLIN-2-OL
1.14.12.18-RXN.c	BIPHENYL|CIS-3-PHENYLCYCLOHEXA-35-DIENE-12-DIOL|NAD|NADH|OXYGEN-MOLECULE|PROTON
1.14.12.4-RXN.c	CPD-1071|CPD-565|NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE
1.14.12.9-RXN.c	CL-|CPD-1786|CPD-782|NAD|NADH|OXYGEN-MOLECULE
1.14.13.10-RXN.c	CPD-123|CPD-2301|NAD|NADH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.101-RXN.c	CPD-8986|CPD-8987|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.103-RXN.c	CPD-9440|CPD-9442|NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|WATER
1.14.13.103-RXN.r	CPD-9440|CPD-9442|NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|WATER
1.14.13.104-RXN.c	CPD-4942|CPD-4981|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.117-RXN.c	CARBON-DIOXIDE|CPD-10273|ILE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.118-RXN.c	2-METHYLPROPANAL-OXIME|CARBON-DIOXIDE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|VAL|WATER
1.14.13.18-RXN.c	4-HYDROXYPHENYLACETATE|HOMOGENTISATE|NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.33-RXN.c	3-4-DIHYDROXYBENZOATE|4-hydroxybenzoate|NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.35-RXN.c	2-3-DIHYDROXYBENZOATE|AMMONIUM|ANTHRANILATE|NADP|NADPH|OXYGEN-MOLECULE|PROTON
1.14.13.36-RXN.c	4-COUMAROYLQUINATE|CAFFEOYLQUINATE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.36-RXN.r	4-COUMAROYLQUINATE|CAFFEOYLQUINATE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.37-RXN.c	ALLOCRYPTOPINE|NADP|NADPH|OXYGEN-MOLECULE|S-N-METHYLCANADINE|WATER
1.14.13.42-RXN.c	CPD-1074|CPD-648|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.42-RXN.e	CPD-1074|CPD-648|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.45-RXN.c	CMP-N-ACETYL-NEURAMINATE|CPD-262|NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.54-RXN.c	NADP|NADPH|OXYGEN-MOLECULE|Oxosteroids|PROTON|Steroid-Esters|WATER
1.14.13.55-RXN.c	6-HYDROXYPROTOPINE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|PROTOPINE|WATER
1.14.13.56-RXN.c	10-HYDROXYDIHYDROSANGUINARINE|DIHYDROSANGUINARINE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.57-RXN.c	12-HYDROXYDIHYDROCHELIRUBINE|DIHYDROCHELIRUBINE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.58-RXN.c	BENZOYLCOA|CPD-264|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.59-RXN.c	CPD-265|LYS|NADP|NADPH|OXYGEN-MOLECULE|WATER
1.14.13.59-RXN.p	CPD-265|LYS|NADP|NADPH|OXYGEN-MOLECULE|WATER
1.14.13.61-RXN.c	NAD|NADH|OXYGEN-MOLECULE|PROTON|QUINOLIN-2-OL|QUINOLIN-28-DIOL|WATER
1.14.13.62-RXN.c	NAD|NADH|OXYGEN-MOLECULE|PROTON|QUINOLIN-34-DIOL|QUINOLIN-4-OL|WATER
1.14.13.63-RXN.c	3-HYDROXYPHENYLACETATE|HOMOGENTISATE|NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.64-RXN.c	4-hydroxybenzoate|CARBON-DIOXIDE|HYDROQUINONE|NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.66-RXN.c	2-HYDROXYCYCLOHEXAN-1-ONE|6-HYDROXYHEXAN-6-OLIDE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.67-RXN.c	3-HYDROXYQUININE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|QUININE|WATER
1.14.13.67-RXN.e	3-HYDROXYQUININE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|QUININE|WATER
1.14.13.67-RXN.r	3-HYDROXYQUININE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|QUININE|WATER
1.14.13.68-RXN.c	CPD-1041|CPD-648|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.68-RXN.e	CPD-1041|CPD-648|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.69-RXN.c	NAD|NADH|OXYGEN-MOLECULE|PROPENE|PROTON|R-12-EPOXYPROPANE|WATER
1.14.13.70-RXN.c	ALPHA-METHYL-5-ALPHA-ERGOSTA|FORMATE|NADP|NADPH|OBTUSIFOLIOL|OXYGEN-MOLECULE|PROTON|WATER
