3M2OBLOXRD	2mpdhl|3mob|co2|h|lpam
PGLYSA_SA2	cdpdag_SA|cmp|gly|h|pgly_SA2
PGM	2pg|3pg
PGMT	g1p|g6p
PGPP_SA	h2o|pg_SA|pgp_SA|pi
PGSA_SA	cdpdag_SA|cmp|glyc3p|h|pgp_SA
PHETA1	akg|glu-L|phe-L|phpyr
PHEt2r	h|phe-L
PIabc	adp|atp|h|h2o|pi
PIt7	na1|pi
PLEUSA_SA2	cdpdag_SA|cmp|h|leu-L|pleu_SA2
PLYSSA_SA2	cdpdag_SA|cmp|h|lys-L|plys_SA2
PMANM	man1p|man6p
PMDPHT	4r5au|5aprbu|h2o|pi
PMEVK	5dpmev|5pmev|adp|atp
PMPK	2mahmp|4ampm|adp|atp
PNTK	4ppan|adp|atp|h|pnto-R
POX	ac|co2|h2o|pyr|q8|q8h2
POX2	actp|co2|h|h2o|h2o2|o2|pi|pyr
PPA	h|h2o|pi|ppi
PPBNGS	5aop|h|h2o|ppbng
PPCDC	4ppcys|co2|h|pan4p
PPCK	adp|atp|co2|oaa|pep
PPM	r1p|r5p
PPM2	2dr1p|2dr5p
PPNCL2	4ppan|4ppcys|cmp|ctp|cys-L|h|ppi
PPND	34hpp|co2|nad|nadh|pphn
PPNDH	co2|h|h2o|phpyr|pphn
PPPGO	h2o|o2|ppp9|pppg9
PRAGS	adp|atp|gar|gly|h|pi|pram
PRAI	2cpr5p|pran
PRAIS	adp|air|atp|fpram|h|pi
PRAMPC	h2o|prbamp|prfp
PRASCS	25aics|5aizc|adp|asp-L|atp|h|pi
PRATPP	h|h2o|ppi|prbamp|prbatp
PRFGS	adp|atp|fgam|fpram|gln-L|glu-L|h|h2o|pi
PRMICIi	prfp|prlp
PROD2	1pyr5c|fad|fadh2|h|pro-L
PROabc	adp|atp|h|h2o|pi|pro-L
PROt4	na1|pro-L
PRPPS	amp|atp|h|prpp|r5p
PSCVT	3psme|pep|pi|skm5p
PSD_SA	co2|h|pe_SA|ps_SA
PSERT	3php|akg|glu-L|pser-L
PSP_L	h2o|pi|pser-L|ser-L
PSSA_SA	cdpdag_SA|cmp|h|ps_SA|ser-L
PTAr	accoa|actp|coa|pi
PTHPS	6pthp|ahdt|pppi
PTPATi	atp|dpcoa|h|pan4p|ppi
PTRCORNt7	orn|ptrc
PUNP1	ade|adn|pi|r1p
PUNP2	2dr1p|ade|dad-2|pi
PYK	adp|atp|h|pep|pyr
PYNP1	csn|cytd|pi|r1p
PYRZAM	h2o|male|malm|nh4
RAFH	fru|h2o|melib|raffin
RBFK	adp|atp|fmn|h|ribflv
RBFSa	4r5au|db4p|dmlz|h2o|pi
RBFSb	4r5au|dmlz|ribflv
RBK	adp|atp|h|r5p|rib-D
RBK_L1	adp|atp|h|rbl-L|ru5p-L
RIBabc	adp|atp|h|h2o|pi|rib-D
RNDR1	adp|dadp|h2o|trdox|trdrd
RNDR2	dgdp|gdp|h2o|trdox|trdrd
RNDR3	cdp|dcdp|h2o|trdox|trdrd
RNDR4	dudp|h2o|trdox|trdrd|udp
RNTR1	atp|datp|h2o|trdox|trdrd
RNTR2	dgtp|gtp|h2o|trdox|trdrd
RNTR3	ctp|dctp|h2o|trdox|trdrd
RNTR4	dutp|h2o|trdox|trdrd|utp
RPE	ru5p-D|xu5p-D
RPI	r5p|ru5p-D
S3AdT	3AStmyn|Stmyn|atp|h|ppi
S7PIr	gmhep7p|s7p
SADT2	aps|atp|gdp|gtp|h2o|pi|ppi|so4
SALCpts	pep|pyr|salc6p|salcn
SA_free_FA	SA_FREE_FA|fa11|fa12|fa3|fa4|fa6|hdca
SBTD_Dr	fru|h|nad|nadh|sbt-D
SDPDS	26dap-LL|h2o|sl26da|succ
SDPTA	akg|glu-L|sl26da|sl2a6o
SERAT	accoa|acser|coa|ser-L
SERD_Lr	nh4|pyr|ser-L
SERTRS	amp|atp|ppi|ser-L|sertrna|trnaser
SERabc	adp|atp|h|h2o|pi|ser-L
SHCHCS2	2shchc|ichor|pyr|ssaltpp|thmpp
SHCHD2	dscl|h|nad|nadh|scl
SHCHF	fe2|h|scl|sheme
SHK3Dr	3dhsk|h|nadp|nadph|skm
SHKK	adp|atp|h|skm|skm5p
SHSL1	cys-L|cyst-L|h|succ|suchms
SHSL4r	2obut|h|h2o|nh4|succ|suchms
SPMDabc	adp|atp|h|h2o|pi|spmd
SPMS	5mta|ametam|h|ptrc|spmd
SPODM	h|h2o2|o2|o2-
SQLS	frdp|h|nadp|nadph|ppi|sql
SSALy	h|h2o|nadp|nadph|succ|sucsal
SUCBZL	amp|atp|coa|ppi|sbzcoa|sucbz
SUCBZS	2shchc|h2o|sucbz
SUCD1	fad|fadh2|fum|succ
SUCD4	fad|fadh2|q8|q8h2
SUCOAS	adp|atp|coa|pi|succ|succoa
SUCR	fru|glc-D|h2o|sucr
SUCpts	pep|pyr|suc6p|sucr
SULR	h|h2o|h2s|nadp|nadph|so3
SULabc	adp|atp|h|h2o|pi|so4
