12PPDt	12ppd-S
GLCDe	glc-D|glcn|h|h2o|q8|q8h2
GLCNt2r	glcn|h
GLCP	g1p|glycogen|glycogenb|h|pi
GLCRAL	2h3oppan|5dh4dglc|pyr
GLCRD	5dh4dglc|glcr|h2o
GLCRt2r	glcr|h
GLCS1	adp|adpglc|glycogen|glycogenb
GLCURt2r	glcur|h
GLCpts	g6p|glc-D|pep|pyr
GLCt2	glc-D|h
GLGC	adpglc|atp|g1p|ppi
GLNS	adp|atp|gln-L|glu-L|h|nh4|pi
GLNabc	adp|atp|gln-L|h|h2o|pi
GLTPD	galt1p|h|nad|nadh|tag6p-D
GLU5K	adp|atp|glu-L|glu5p|h
GLUABUTt7	4abut|glu-L
GLUCYS	adp|atp|cys-L|glu-L|glucys|h|pi
GLUDC	4abut|co2|glu-L|h
GLUDy	akg|glu-L|h|h2o|nadp|nadph|nh4
GLUN	gln-L|glu-L|h2o|nh4
GLUPRT	gln-L|glu-L|h2o|ppi|pram|prpp
GLUR	glu-D|glu-L
GLUSy	akg|gln-L|glu-L|h|nadp|nadph
GLUTRR	glu1sa|glutrna|h|nadp|nadph|trnaglu
GLUTRS	amp|atp|glu-L|glutrna|h|ppi|trnaglu
GLUabc	adp|atp|glu-L|h|h2o|pi
GLUt2r	glu-L|h
GLUt4	glu-L|na1
GLXCL	2h3oppan|co2|glx|h
GLYALDt	glyald
GLYATi	2aobut|accoa|coa|gly
GLYBabc	adp|atp|glyb|h|h2o|pi
GLYBt2r	glyb|h
GLYC3Pabc	adp|atp|glyc3p|h|h2o|pi
GLYC3Pt6	glyc3p|pi
GLYCDx	dha|glyc|h|nad|nadh
GLYCK	3pg|adp|atp|glyc-R
GLYCL	co2|gly|mlthf|nad|nadh|nh4|thf
GLYCLTDx	glx|glyclt|h|nad|nadh
GLYCLTDy	glx|glyclt|h|nadp|nadph
GLYCLTt2r	glyclt|h
GLYCTO2	glx|glyclt|q8|q8h2
GLYCTO3	glx|glyclt|mql8|mqn8
GLYCTO4	2dmmq8|2dmmql8|glx|glyclt
GLYCt	glyc
GLYK	adp|atp|glyc|glyc3p
GLYOX	gthrd|h|h2o|lac-D|lgt-S
GLYt2r	gly|h
GMAND	gdpddman|gdpmann|h2o
GMHEPAT	adphep-D,D|atp|gmhep1p|ppi
GMHEPK	adp|atp|gmhep17bp|gmhep7p
GMHEPPA	gmhep17bp|gmhep1p|h|h2o|pi
