R01063	C00005|C00006|C00009|C00080|C00118|C00236
R01067	C00085|C00118|C00231|C00279
R01068	C00111|C00118|C00354
R01070	C00111|C00118|C05378
R01071	C00002|C00013|C00119|C02739
R01072	C00001|C00013|C00025|C00064|C00119|C03090
R01073	C00013|C00108|C00119|C04302
R01078	C00019|C00073|C00080|C00120|C01909|C05198|C05359|C17023
R01080	C00001|C00106|C00121|C00299
R01082	C00001|C00122|C00149
R01083	C00020|C00122|C03794
R01085	C00001|C00022|C00122|C02514
R01086	C00062|C00122|C03406
R01090	C00025|C00026|C00123|C00233
R01092	C00002|C00008|C00124|C00446
R01093	C00003|C00004|C00080|C00124|C01697
R01095	C00005|C00006|C00080|C00124|C01697
R01101	C00001|C00031|C00124|C05402
R01103	C00001|C00089|C00124|C00492
R01104	C00001|C00116|C00124|C05401
R01108	C00051|C00072|C00127|C05422
R01121	C00002|C00008|C00009|C00011|C00129|C01143
R01122	C00013|C00066|C00235|C04432
R01123	C00129|C00235
R01126	C00001|C00009|C00130|C00294
R01130	C00001|C00003|C00004|C00080|C00130|C00655
R01132	C00013|C00119|C00130|C00262
R01135	C00009|C00035|C00044|C00049|C00130|C03794
R01137	C00002|C00008|C00131|C00206
R01138	C00022|C00074|C00131|C00206
R01152	C00001|C00011|C00014|C00134|C00436
R01163	C00001|C00003|C00004|C00080|C00135|C01929
R01175	C00016|C00136|C00877|C01352
R01177	C00010|C00024|C00136|C05269
R01184	C00001|C00007|C00137|C00191
R01185	C00001|C00009|C00137|C01177
R01186	C00001|C00009|C00137|C03546
R01187	C00001|C00009|C00137|C04006
R01194	C00001|C00124|C00137|C01235
R01195	C00005|C00006|C00080|C00138|C00139
R01206	C00001|C00140|C00461
R01209	C00001|C00141|C04039
R01213	C00001|C00010|C00024|C00141|C02504
R01214	C00025|C00026|C00141|C00183
R01221	C00003|C00004|C00011|C00014|C00037|C00080|C00101|C00143
R01224	C00005|C00006|C00080|C00143|C00440
R01226	C00001|C00101|C00141|C00143|C00966
R01227	C00001|C00009|C00144|C00387
R01229	C00013|C00119|C00144|C00242
R01230	C00002|C00013|C00014|C00020|C00144|C00655
R01231	C00001|C00002|C00013|C00020|C00025|C00064|C00144|C00655
R01248	C00003|C00004|C00080|C00148|C03912
R01251	C00005|C00006|C00080|C00148|C03912
R01252	C00007|C00011|C00026|C00042|C00148|C01157
R01253	C00028|C00030|C00148|C03912
R01262	C00051|C00151|C01419|C03740
R01274	C00001|C00010|C00154|C00249
R01278	C00005|C00006|C00080|C00154|C05272
R01279	C00016|C00154|C01352|C05272
R01280	C00002|C00010|C00013|C00020|C00154|C00249
R01281	C00010|C00011|C00065|C00154|C02934
R01285	C00001|C00014|C00022|C00155|C00542
R01286	C00001|C00014|C00022|C00155|C02291
R01288	C00042|C00155|C00283|C01118
R01310	C00001|C00114|C00157|C00416
R01312	C00001|C00157|C00588|C00641
R01315	C00001|C00157|C00162|C04230
R01317	C00001|C00157|C00219|C04230
R01318	C00010|C00040|C00157|C04230
R01324	C00158|C00311
R01325	C00001|C00158|C00417
R01326	C00002|C00008|C00159|C00275
R01329	C00001|C00124|C00159|C05400
R01334	C00001|C00009|C00160|C00988
R01354	C00002|C00013|C00163|C05983
R01360	C00024|C00164|C00356
R01361	C00003|C00004|C00080|C00164|C01089
R01364	C00001|C00122|C00164|C01061
R01372	C00007|C00011|C00166|C05852
R01373	C00001|C00011|C00166|C00254
R01378	C00166|C02763
R01384	C00011|C00167|C00190
R01385	C00167|C00617
R01386	C00011|C00167|C01623
R01388	C00003|C00004|C00080|C00168|C00258
R01397	C00009|C00049|C00169|C00438
R01398	C00009|C00077|C00169|C00327
R01401	C00001|C00147|C00170|C03089
R01409	C00071|C00177|C05712
R01415	C00005|C00006|C00080|C00178|C00906
R01416	C00001|C00014|C00179|C00436
R01421	C00001|C00009|C00180|C06206
R01431	C00005|C00006|C00080|C00181|C00379
R01432	C00181|C00310
R01433	C00001|C00181|C02352
R01451	C00003|C00004|C00080|C00187|C01164
R01456	C00005|C00006|C00080|C00187|C01164
R01457	C00005|C00006|C00080|C00187|C01802
R01462	C00001|C00162|C00187|C02530
R01466	C00001|C00009|C00188|C01102
R01468	C00002|C00008|C00189|C00346
R01470	C00001|C00093|C00189|C01233
R01473	C00190|C00935
R01494	C00001|C00162|C00195|C00319
R01495	C00002|C00008|C00195|C02960
R01496	C00010|C00040|C00195|C00319
R01498	C00001|C00031|C00195|C01190
R01512	C00002|C00008|C00197|C00236
R01513	C00003|C00004|C00080|C00197|C03232
R01514	C00002|C00008|C00197|C00258
R01515	C00001|C00009|C00197|C00236
R01518	C00197|C00631
R01523	C00002|C00008|C00199|C01182
R01528	C00005|C00006|C00011|C00080|C00199|C00345
R01529	C00199|C00231
R01530	C00199|C01112
R01547	C00002|C00008|C00206|C00360
R01548	C00055|C00131|C00206|C00475
R01549	C00105|C00131|C00206|C00299
R01560	C00001|C00014|C00212|C00294
R01569	C00001|C00009|C00214|C00364
R01600	C00002|C00008|C00221|C01172
R01602	C00221|C00267
R01613	C00010|C00011|C00083|C00223|C06561
R01615	C00005|C00006|C00010|C00080|C00223|C05608
R01616	C00002|C00010|C00013|C00020|C00223|C00811
R01624	C00010|C00024|C00229|C03939
R01625	C00010|C00054|C00229|C03688
R01626	C00010|C00083|C00229|C01209
R01639	C00002|C00008|C00231|C00310
R01641	C00117|C00118|C00231|C05382
R01658	C00013|C00129|C00235|C00341
R01663	C00001|C00014|C00239|C00365
R01664	C00001|C00009|C00239|C00881
R01665	C00002|C00008|C00239|C00705
R01667	C00001|C00009|C00239|C00705
R01668	C00001|C00013|C00239|C00458
R01678	C00001|C00124|C00243|C00267
R01682	C00011|C00245|C00506
R01687	C00012|C00245|C03193|C05844
R01698	C00003|C00004|C00080|C00248|C00579
R01699	C00011|C00022|C15972|C16255
R01706	C00001|C00229|C00249|C05764
R01708	C00005|C00006|C00080|C00250|C00314
R01714	C00009|C00251|C01269
R01715	C00251|C00254
R01717	C00251|C00885
R01724	C00013|C00119|C00253|C01185
R01731	C00036|C00049|C00254|C00826
R01736	C00001|C00051|C00256|C03451
R01737	C00002|C00008|C00257|C00345
R01752	C00001|C00003|C00004|C00080|C00258|C00577
R01758	C00003|C00004|C00080|C00259|C00532
R01759	C00005|C00006|C00080|C00259|C00532
R01762	C00001|C00259|C02474
R01767	C00177|C00261|C00561
R01771	C00002|C00008|C00263|C01102
R01773	C00003|C00004|C00080|C00263|C00441
R01775	C00005|C00006|C00080|C00263|C00441
R01778	C00003|C00004|C00080|C00264|C00640
R01786	C00002|C00008|C00267|C00668
