12PPDt	12ppd-S
DKGLCNR1	25dkglcn|2dhguln|h|nadp|nadph
DKGLCNR2x	25dkglcn|5dglcn|h|nad|nadh
DKGLCNR2y	25dkglcn|5dglcn|h|nadp|nadph
DKMPPD	2kmb|dkmpp|for|h|h2o|o2|pi
DKMPPD2	2kmb|dkmpp|for|h|h2o|pi
DMATT	dmpp|grdp|ipdp|ppi
DMOCT	ckdo|ctp|kdo|ppi
DMPPS	dmpp|h|h2mb4p|h2o|nad|nadh
DMQMT	2omhmbl|ahcys|amet|h|ubq8h2
DMSOR1e	dms|dmso|h2o|mql8|mqn8
DMSOR2e	2dmmq8|2dmmql8|dms|dmso|h2o
DNMPPA	dhnpt|dhpmp|h2o|pi
DNTPPA	ahdt|dhpmp|h|h2o|ppi
DOGULNR	23doguln|3dhguln|h|nad|nadh
DPCOAK	adp|atp|coa|dpcoa|h
DPR	2dhp|h|nadp|nadph|pant-R
DRBK	2dr5p|adp|atp|drib|h
DRIBt2	drib|h
DRPA	2dr5p|acald|g3p
DTARTD	h2o|oaa|tartr-D
DTMPK	adp|atp|dtdp|dtmp
DURIK1	adp|atp|dump|duri|h
DURIPP	2dr1p|duri|pi|ura
DURIt2	duri|h
DUTPDP	dump|dutp|h|h2o|ppi
DXPRIi	2me4p|dxyl5p|h|nadp|nadph
DXPS	co2|dxyl5p|g3p|h|pyr
DXYLK	adp|atp|dxyl|dxyl5p|h
E4PD	4per|e4p|h|h2o|nad|nadh
ECAP_EC	eca_EC|h|udcpdp|unagamuf
EDA	2ddg6p|g3p|pyr
EDTXS1	ACP|ddcaACP|kdo2lipid4|kdo2lipid4L
EDTXS2	ACP|kdo2lipid4L|lipa|myrsACP
ENO	2pg|h2o|pep
ENTCS	23dhba|amp|enter|h|seramp
EPPP	h|h2o|pi|polypi
ETHAAL	acald|etha|nh4
ETHAt6	etha|h
ETOHt4	etoh|h
F1PK	adp|atp|f1p|fdp|h
F6PA	dha|f6p|g3p
F6Pt6_i2	f6p|pi
FALDH	fald|fglut-S|gthrd|h|nad|nadh
FAO1	accoa|amp|atp|coa|fad|fadh2|h|h2o|nad|nadh|ppi|ttdca
FAO10	accoa|amp|atp|coa|fad|fadh2|h|h2o|nad|nadh|ocdcea|ppi
FAO2	accoa|amp|atp|coa|fad|fadh2|h|h2o|hdca|nad|nadh|ppi
FAO3	accoa|amp|atp|coa|fad|fadh2|h|h2o|nad|nadh|ocdca|ppi
FAO8	accoa|amp|atp|coa|ddca|fad|fadh2|h|h2o|nad|nadh|ppi
FAO9	accoa|amp|atp|coa|fad|fadh2|h|h2o|nad|nadh|ppcoa|ppi|trdca
FBA	dhap|fdp|g3p
FBP	f6p|fdp|h2o|pi
FCI	fcl-L|fuc-L
FCLK	adp|atp|fc1p|fcl-L|h
FCLPA	dhap|fc1p|lald-L
FCLT	fe2|h|pheme|ppp9
FDH2e	co2|for|h|ubq8|ubq8h2
FDH3e	co2|for|h|mql8|mqn8
FE2abc	adp|atp|fe2|h|h2o|pi
FERRICHabc	adp|atp|ferrich|h|h2o|pi
FGLU	forglu|frmd|glu-L|h2o
FHL	co2|for|h|h2
FLDR	fldox|fldrd|h|nadp|nadph
FLQNt	flqn|h
FLQNt2	flqn
FMETDF	fmet|for|h2o|met-L
FMETTRS	10fthf|fmettrna|mettrna|thf
FMNAT	atp|fad|fmn|h|ppi
FORt	for
FRD2	fum|mql8|mqn8|succ
FRD3	2dmmq8|2dmmql8|fum|succ
FRUpts	f1p|fru|pep|pyr
FRUpts2	f6p|fru|pep|pyr
FTHFD	10fthf|for|h|h2o|thf
FUCt	fuc-L|h
FUM	fum|h2o|mal-L
FUMt2_2	fum|h
FUMt4	fum|h
G1PACT	accoa|acgam1p|coa|gam1p|h
G1PP	g1p|glc-D|h2o|pi
G1PTMT	dtdpglc|dttp|g1p|h|ppi
G1SATi	5aop|glu1sa
G3PD2	dhap|glyc3p|h|nadp|nadph
G3PD5	dhap|glyc3p|ubq8|ubq8h2
G3PD6	dhap|glyc3p|mql8|mqn8
G3PD7	2dmmq8|2dmmql8|dhap|glyc3p
G5SADsi	1pyr5c|glu5sa|h|h2o
G5SD	glu5p|glu5sa|h|nadp|nadph|pi
G6PDA	f6p|gam6p|h2o|nh4
G6PDHy	6pgl|g6p|h|nadp|nadph
G6Pt6_2	g6p|pi
GABAt2	4abut|h
GALCTD	5d4dglcr|galctr-D|h2o
GALCTND	2dh3dgal|galctn-D|h2o
GALCTNt6	galctn-D|h
GALCTRt2	galctr-D|h
GALKr	adp|atp|gal|gal1p|h
GALS3	gal|glc-D|h2o|melib
GALTpts	galt|galt1p|pep|pyr
GALUi	g1p|h|ppi|udpg|utp
GALabc	adp|atp|gal|h|h2o|pi
GALt2	gal|h
GAMpts	gam|gam6p|pep|pyr
GAPD	13dpg|g3p|h|nad|nadh|pi
GARFT	10fthf|fgam|gar|h|thf
GART	adp|atp|fgam|for|gar|h|pi
GCALDD	gcald|glyclt|h|h2o|nad|nadh
GDMANEi	gdpddm|gdpofuc
GDPMD	gdpddm|gdpman|h2o
GDPMNH	gdp|gdpman|h|h2o|man
GF6PTA	f6p|gam6p|gln-L|glu-L
GHMT2	gly|h2o|mlthf|ser-L|thf
GK1	adp|atp|gdp|gmp
GLCDe	glc-D|glcn-D|h|h2o|ubq8|ubq8h2
GLCNt2	glcn-D|h
GLCP	g1p|glycogen|pi
GLCRAL	2h3opp|5d4dglcr|pyr
GLCRD	5d4dglcr|glcr|h2o
GLCRt6	glcr|h
GLCS1	adp|adpglc|glycogen|h
GLCURt2	glcur|h
GLCpts	g6p|glc-D|pep|pyr
GLCt2	glc-D|h
