+-BORNEOL-DEHYDROGENASE-RXN.c	CPD-1903|CPD-862|NAD|NADH|PROTON
1.17.4.2-RXN.c	Ox-Thioredoxin|Red-Thioredoxin|WATER
1.18.1.2-RXN.c	NADP|NADPH|Oxidized-ferredoxins|PROTON|Reduced-ferredoxins
1.2.1.1-RXN.c	CPD-548|FORMALDEHYDE|GLUTATHIONE|NAD|NADH|PROTON
1.2.1.13-RXN.c	DPG|GAP|NADP|NADPH|PROTON|Pi
1.2.1.13-RXN.d	DPG|GAP|NADP|NADPH|PROTON|Pi
1.2.1.2-RXN.c	CARBON-DIOXIDE|FORMATE|NAD|NADH
1.2.1.25-RXN.c	2-KETO-ISOVALERATE|CARBON-DIOXIDE|CO-A|ISOBUTYRYL-COA|NAD|NADH
1.2.1.25-RXN.m	2-KETO-ISOVALERATE|CARBON-DIOXIDE|CO-A|ISOBUTYRYL-COA|NAD|NADH
1.2.1.27-RXN.c	CO-A|CPD-12179|HCO3|NAD|NADH|PROPIONYL-COA|PROTON|WATER
1.2.1.27-RXN.m	CO-A|CPD-12179|HCO3|NAD|NADH|PROPIONYL-COA|PROTON|WATER
1.2.1.31-RXN.c	ALLYSINE|CPD-468|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON|WATER
1.2.1.47-RXN.c	NAD|NADH|PROTON|WATER
1.2.1.9-RXN.c	G3P|GAP|NADP|NADPH|PROTON|WATER
1.2.3.14-RXN.c	CPD-692|CPD-693|HYDROGEN-PEROXIDE|OXYGEN-MOLECULE|PROTON|WATER
1.2.4.4-RXN.c	2-KETO-ISOVALERATE|BCAA-dehydrogenase-2MP-DH-lipoyl|BCAA-dehydrogenase-lipoyl|CARBON-DIOXIDE|PROTON
1.20.99.1-RXN.c	ARSENATE|Acceptor|CPD-763|Donor-H2|PROTON|WATER
1.3.1.10-RXN.c	ACYL-ACP|NADP|NADPH|PROTON|TRANS-D2-ENOYL-ACP
1.3.1.2-RXN.c	DI-H-URACIL|NADP|NADPH|PROTON|URACIL
1.3.1.2-RXN.d	DI-H-URACIL|NADP|NADPH|PROTON|URACIL
1.3.1.20-RXN.c	CATECHOL|NADP|NADPH|PROTON
1.3.1.56-RXN.c	NAD|NADH|PROTON
1.3.1.73-RXN.c	12-DIHYDROVOMILENINE|17-O-ACETYLNORAJMALINE|NADP|NADPH|PROTON
1.3.1.9-RXN.c	ACYL-ACP|NAD|NADH|PROTON|TRANS-D2-ENOYL-ACP
1.3.1.9-RXN.d	ACYL-ACP|NAD|NADH|PROTON|TRANS-D2-ENOYL-ACP
1.3.3.9-RXN.c	LOGANIN|NADP|NADPH|OXYGEN-MOLECULE|PROTON|SECOLOGANIN-CPD|WATER
1.3.7.2-RXN.c	BILIVERDINE|Reduced-ferredoxins
1.3.7.4-RXN.c	BILIVERDINE|Oxidized-ferredoxins|Reduced-ferredoxins
1.3.7.5-RXN.c	BILIVERDINE|Oxidized-ferredoxins|PROTON|Reduced-ferredoxins
1.3.99.5-RXN.c	NADP|NADPH|PROTON
1.5.1.20-RXN.c	5-METHYL-THF|METHYLENE-THF|NAD|NADH|PROTON
1.5.1.27-RXN.c	12-DEHYDRORETICULINIUM|NADP|NADPH|PROTON|R-RETICULINE
1.5.1.32-RXN.c	12-DIHYDROVOMILENINE|NADP|NADPH|PROTON|VOMILENINE
1.5.1.7-RXN.c	2-KETOGLUTARATE|LYS|NAD|NADH|PROTON|SACCHAROPINE|WATER
1.5.1.8-RXN.c	2-KETOGLUTARATE|LYS|NADP|NADPH|PROTON|SACCHAROPINE|WATER
1.5.1.9-RXN.c	ALLYSINE|GLT|NAD|NADH|PROTON|SACCHAROPINE|WATER
1.5.3.12-RXN.c	DIHYDROSANGUINARINE|HYDROGEN-PEROXIDE|OXYGEN-MOLECULE|PROTON|SANGUINARINE
1.5.3.17-RXN.c	CPD-6082|HYDROGEN-PEROXIDE|OXYGEN-MOLECULE|SPERMIDINE|SPERMINE|WATER
1.5.5.1-RXN.c	ETF-Oxidized|ETF-Reduced|Ubiquinols|Ubiquinones
1.5.99.12-RXN.c	ADENINE|Acceptor|CPD-4209|Donor-H2|PRENAL|WATER
1.6.4.4-RXN.c	NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
1.6.5.4-RXN.c	ASCORBATE|CPD-318|NAD|NADH|PROTON
1.6.99.5-RXN.c	ETR-Quinols|ETR-Quinones|NAD|NADH|PROTON
1.8.1.4-RXN.c	NAD|NADH|PROTON
1.8.3.5-RXN.c	CYS|HYDROGEN-PEROXIDE|OXYGEN-MOLECULE|PRENAL|WATER
1.8.4.12-RXN.c	Ox-Thioredoxin|Red-Thioredoxin|WATER
1.8.4.12-RXN.d	Ox-Thioredoxin|Red-Thioredoxin|WATER
1.8.4.14-RXN.c	MET|Ox-Thioredoxin|Red-Thioredoxin|WATER
1.8.4.8-RXN.c	3-5-ADP|Ox-Thioredoxin|PAPS|PROTON|Red-Thioredoxin|SO3
1.8.4.9-RXN.c	AMP|APS|GLUTATHIONE|OXIDIZED-GLUTATHIONE|PROTON|SO3
1.8.5.1-RXN.c	ASCORBATE|GLUTATHIONE|L-DEHYDRO-ASCORBATE|OXIDIZED-GLUTATHIONE|PROTON
1.8.98.2-RXN.c	ADP|ATP|PROTON|Pi
11-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN.c	NADP|NADPH|PROTON
12-ALPHA-L-FUCOSIDASE-RXN.c	WATER
12-OXOPHYTODIENOATE-REDUCTASE-RXN.c	CPD-729|CPD-730|NADP|NADPH|PROTON
13-BETA-GLUCAN-SYNTHASE-RXN.c	1-3-beta-D-Glucans|UDP|UDP-GLUCOSE
13-PROPANEDIOL-DEHYDROGENASE-RXN.c	NAD|NADH|PROTON
1TRANSKETO-RXN.c	D-SEDOHEPTULOSE-7-P|GAP|RIBOSE-5P|XYLULOSE-5-PHOSPHATE
1TRANSKETO-RXN.d	D-SEDOHEPTULOSE-7-P|GAP|RIBOSE-5P|XYLULOSE-5-PHOSPHATE
2-AMINOADIPATE-AMINOTRANSFERASE-RXN.c	2-KETOGLUTARATE|2K-ADIPATE|CPD-468|GLT
