ALAALAabcpp	adp|alaala|atp|h|h2o|pi
ALAALAr	adp|ala-D|alaala|atp|h|pi
ALAALAtex	alaala
ALAGLUE	LalaDglu|LalaLglu
ALAR	ala-D|ala-L
ALATA_D2	ala-D|pyam5p|pydx5p|pyr
ALATA_L	akg|ala-L|glu-L|pyr
ALATA_L2	ala-L|pyam5p|pydx5p|pyr
ALATRS	ala-L|alatrna|amp|atp|h|ppi|trnaala
ALAabcpp	adp|ala-L|atp|h|h2o|pi
ALAt2pp	ala-L|h
ALAt4pp	ala-L|na1
ALAtex	ala-L
ALCD19	glyald|glyc|h|nad|nadh
ALCD2x	acald|etoh|h|nad|nadh
ALDD19x	h|h2o|nad|nadh|pac|pacald
ALDD2x	ac|acald|h|h2o|nad|nadh
ALDD2y	ac|acald|h|h2o|nadp|nadph
ALDD3y	h|h2o|nadp|nadph|ppa|ppal
ALDD4	btal|but|h|h2o|nad|nadh
ALLK	adp|all-D|all6p|atp
ALLPI	all6p|allul6p
ALLTAMH	alltt|co2|h|h2o|nh4|urdglyc
ALLTN	alltn|alltt|h|h2o
ALLTNt2rpp	alltn|h
ALLTNtex	alltn
ALLULPE	allul6p|f6p
ALLabcpp	adp|all-D|atp|h|h2o|pi
ALLtex	all-D
ALPATE160pp	2agpe160|alpp|h|lpp|pe160
ALPATG160pp	2agpg160|alpp|h|lpp|pg160
ALR2	acetol|h|mthgxl|nadp|nadph
ALR4x	12ppd-R|acetol|h|nad|nadh
ALTRH	2ddglcn|altrn|h2o
AM3PA	LalaDgluMdap|anhm|anhm3p|h2o
AM4PA	LalaDgluMdapDala|anhm|anhm4p|h2o
AM4PCP	ala-D|anhm3p|anhm4p|h2o
AMALT1	glc-D|malt|malttr|maltttr
AMALT2	glc-D|malt|maltpt|maltttr
AMALT3	glc-D|malt|malthx|maltpt
AMALT4	glc-D|malt|malthp|malthx
AMANAPEr	acgam6p|acmanap
AMANK	acmana|acmanap|adp|atp
AMAOTr	8aonn|amet|amob|dann
AMMQLT8	2dmmql8|ahcys|amet|h|mql8
AMPMS2	4ampm|air|for|h|h2o|nad|nadh
AMPN	ade|amp|h2o|r5p
AMPTASECG	cgly|cys-L|gly|h2o
AMPTASEPG	gly|h2o|pro-L|progly
AMPtex	amp
ANHGMtex	anhgm
ANHMK	acmum6p|adp|anhm|atp|h2o
ANPRT	anth|ppi|pran|prpp
ANS	anth|chor|gln-L|glu-L|h|pyr
AOBUTDs	2aobut|aact|co2|h
AOXSr	8aonn|ala-L|co2|coa|h|pmcoa
AP4AH	adp|ap4a|h2o
AP5AH	adp|ap5a|atp|h2o
APRAUR	5aprbu|5apru|h|nadp|nadph
ARAI	arab-L|rbl-L
ARBTNR1	arbtn|arbtn-fe3|fad|fadh2|fe2|h
ARBTNR2	arbtn|arbtn-fe3|fe2|fmn|fmnh2|h
ARBTNR3	arbtn|arbtn-fe3|fe2|h|rbflvrd|ribflv
ARBTNabcpp	adp|arbtn-fe3|atp|h|h2o|pi
ARBTNexs	arbtn|arbtn-fe3|fe3
ARBTNtex	arbtn|h
ARBTNtonex	arbtn-fe3|h
ARBTNtpp	arbtn|h
ARBabcpp	adp|arab-L|atp|h|h2o|pi
ARBt2rpp	arab-L|h
ARBt3ipp	arab-L|h
ARBtex	arab-L
ARGAGMt7pp	agm|arg-L
ARGDC	agm|arg-L|co2|h
ARGDCpp	agm|arg-L|co2|h
ARGORNt7pp	arg-L|orn
ARGSL	arg-L|argsuc|fum
ARGSS	amp|argsuc|asp-L|atp|citr-L|ppi
ARGTRS	amp|arg-L|argtrna|atp|h|ppi|trnaarg
ARGabcpp	adp|arg-L|atp|h|h2o|pi
ARGt3pp	arg-L|h
ARGtex	arg-L
ASAD	4pasp|aspsa|h|nadp|nadph|pi
ASCBPL	3dhgulnp|ascb6p|h2o
ASCBptspp	ascb-L|ascb6p|pep|pyr
ASCBtex	ascb-L
ASNN	asn-L|asp-L|h2o|nh4
ASNNpp	asn-L|asp-L|h2o|nh4
ASNS1	amp|asn-L|asp-L|atp|gln-L|glu-L|h2o|ppi
ASNS2	amp|asn-L|asp-L|atp|nh4|ppi
ASNTRS	amp|asn-L|asntrna|atp|h|ppi|trnaasn
ASNabcpp	adp|asn-L|atp|h|h2o|pi
ASNt2rpp	asn-L|h
ASNtex	asn-L
ASO3t8pp	adp|aso3|atp|h|h2o|pi
ASO3tex	aso3
ASP1DC	ala-B|asp-L|co2|h
ASPCT	asp-L|cbasp|cbp|h|pi
ASPK	4pasp|adp|asp-L|atp|h
ASPO3	asp-L|h|iasp|q8|q8h2
ASPO4	asp-L|h|iasp|mql8|mqn8
ASPO5	asp-L|fum|h|iasp|succ
ASPO6	asp-L|h|h2o2|iasp|o2
