2PGK	23dpg|2pg|adp|atp|h
FMFTSPFT(b)	formh4spt|formmfr_b|h|h4spt|mfr_b
FOLR2	dhf|fol|nadp|nadph
FOLt	fol|h
FRTT	frdp|ggdp|ipdp|ppi
FRTT2	3hfrdp|3hggdp|ipdp|ppi
FUM	fum|h2o|mal-L
G1PACT	accoa|acgam1p|coa|gam1p|h
G1PDH	dhap|glyc1p|h|nad|nadh
G1PTT	dtdpglu|dttp|g1p|h|ppi
G1SATi	5aop|glu1sa
G5SADr	1pyr5c|glu5sa|h|h2o
G5SD2	glu5p|glu5sa|h|nad|nadh|pi
G6PDH3	6pgl|f420-2|f420-2h2|g6p
GALT	gal1p|h|ppi|udpgal|utp
GALUi	g1p|h|ppi|udpg|utp
GAPD	13dpg|g3p|h|nad|nadh|pi
GAPD(nadp)	13dpg|g3p|h|nadp|nadph|pi
GARFT	10fthf|fgam|gar|h|thf
GCALDt	gcald
GDMANE	gdpddman|gdpofuc
GF4GL-0	f420-0|f420-1|gdp|glu-L|gtp|h|pi
GF4GL-1	f420-1|f420-2|gdp|glu-L|gtp|h|pi
GF4GL-2	f420-2|f420-3|gdp|glu-L|gtp|h|pi
GF4GL-3	f420-3|f420-4|gdp|glu-L|gtp|h|pi
GF4GL-4	f420-4|f420-5|gdp|glu-L|gtp|h|pi
GF4GL-5	f420-5|f420-6|gdp|glu-L|gtp|h|pi
GF4GL-6	f420-6|f420-7|gdp|glu-L|gtp|h|pi
GF6PTA	f6p|gam6p|gln-L|glu-L
GGGPS	ggdp|gggp|glyc1p|ppi
GHMT2	gly|h2o|mlthf|ser-L|thf
GK (adp)	adp|amp|g6p|glc-D|h
GK1	adp|atp|gdp|gmp
GLCGSD	glc-D|glycogen|glycogenb|h2o
GLCNt2r	glcn|h
GLCP	g1p|glycogen|glycogenb|pi
GLCS2	glycogen|glycogenb|h|udp|udpg
GLNS	adp|atp|gln-L|glu-L|h|nh4|pi
GLNTRAT	adp|atp|gln-L|glntrna|glu-L|glutrna_gln|h|h2o|pi
GLU5K	adp|atp|glu-L|glu5p
GLUDC	4abut|co2|glu-L|h
GLUDxi	akg|glu-L|h|h2o|nad|nadh|nh4
GLUDyi	akg|glu-L|h|h2o|nadp|nadph|nh4
